region,store_id,category,product,week,units_sold,revenue,revenue_last_year
West,128,Electronics,Earbuds,16,200,3508.0,2834.69
North,129,Electronics,Earbuds,6,141,13301.94,9324.08
South,136,Apparel,Jacket,3,165,14392.95,19771.66
East,133,Electronics,Speaker,41,111,9472.74,7374.46
East,133,Apparel,Jeans,38,49,2431.87,2082.92
North,100,Electronics,Charger,35,77,9207.66,8241.06
South,130,Home,Cushion,34,60,4074.6,2935.74
East,103,Home,Mug,2,49,3053.19,3578.72
North,116,Home,Mug,15,170,9146.0,8772.41
North,121,Home,Towel,46,107,4993.69,4881.09
East,132,Apparel,T-Shirt,5,52,3224.0,2709.09
South,129,Apparel,Socks,15,67,6194.15,5614.71
West,139,Electronics,Charger,12,57,3464.46,4632.94
Central,109,Apparel,T-Shirt,26,13,383.37,529.77
West,103,Apparel,Jacket,46,15,392.55,398.34
East,107,Electronics,Webcam,6,42,1800.12,1493.84
West,102,Electronics,Earbuds,20,170,15031.4,19351.26
West,110,Home,Cushion,7,0,0.0,0.0
North,135,Home,Mug,49,53,2581.63,3196.35
West,105,Home,Lamp,4,180,10701.0,10282.59
South,120,Home,Towel,24,188,20332.2,14663.53
South,140,Home,Mug,50,103,996.01,721.51
North,116,Apparel,Jeans,13,191,2335.93,2625.43
East,121,Home,Cushion,40,11,386.65,464.62
East,119,Home,Cushion,1,184,16909.6,22684.6
North,101,Electronics,Speaker,15,27,1610.55,2206.04
East,127,Home,Mug,32,33,3687.09,3053.12
East,109,Electronics,Webcam,39,60,2562.0,2366.48
Central,105,Home,Cushion,33,50,2502.0,2031.51
North,102,Home,Mug,31,141,9535.83,7747.72
North,104,Home,Mug,17,159,2332.53,1790.21
West,111,Home,Towel,15,34,1799.96,2041.54
South,134,Electronics,Speaker,50,170,15699.5,19558.84
East,117,Home,Lamp,37,68,3256.52,3962.04
West,115,Apparel,Socks,12,62,1988.96,1783.99
South,120,Electronics,Charger,5,101,3427.94,2989.73
South,106,Electronics,Earbuds,42,118,14037.28,10831.62
South,128,Home,Towel,24,10,1058.4,913.43
South,138,Apparel,T-Shirt,38,49,5486.53,5270.17
West,138,Apparel,Jacket,17,198,18699.12,25468.04
Central,139,Apparel,Jeans,23,55,512.05,480.31
South,116,Apparel,T-Shirt,3,153,13649.13,18286.68
East,126,Apparel,T-Shirt,44,95,2497.55,2294.09
North,131,Apparel,Socks,36,123,1510.44,1164.51
Central,109,Home,Mug,41,136,2105.28,1714.92
East,126,Electronics,Webcam,19,170,6862.9,9383.18
Central,122,Home,Lamp,27,106,751.54,929.4
South,125,Home,Cushion,47,103,2927.26,2061.12
West,107,Apparel,Jacket,6,103,7359.35,7030.45
South,100,Apparel,Jacket,4,141,3015.99,3813.8
North,136,Home,Mug,40,94,8439.32,6921.76
East,110,Home,Cushion,34,43,4791.49,3718.94
South,119,Home,Towel,9,11,1289.09,1337.97
Central,140,Apparel,T-Shirt,25,22,2397.78,2719.66
South,139,Apparel,Jacket,26,157,16065.81,20571.17
Central,113,Apparel,Jacket,3,102,11518.86,9324.92
North,109,Home,Cushion,16,185,18278.0,15258.78
North,120,Electronics,Earbuds,8,99,7320.06,7942.53
East,126,Electronics,Speaker,20,149,5015.34,4877.16
West,132,Home,Cushion,29,45,346.05,392.15
West,115,Home,Towel,29,195,14847.3,18904.76
West,125,Apparel,Jacket,7,17,336.09,336.57
West,132,Apparel,Jeans,33,168,1627.92,1864.79
East,132,Apparel,Jeans,6,13,1189.37,1577.59
South,101,Electronics,Speaker,5,157,14002.83,17790.49
South,131,Apparel,Socks,19,42,3524.22,4245.82
North,122,Apparel,Socks,40,193,6563.93,6082.71
East,129,Electronics,Charger,10,65,4079.4,5482.45
Central,116,Apparel,Socks,40,129,4166.7,4002.48
South,125,Apparel,Socks,11,162,18255.78,21464.71
South,116,Home,Mug,8,196,12941.88,14823.93
West,135,Home,Cushion,34,148,12461.6,16539.92
Central,140,Home,Lamp,26,188,18185.24,16099.9
Central,109,Home,Cushion,24,84,7806.12,7881.04
Central,103,Apparel,Jacket,19,132,4510.44,5175.58
East,100,Electronics,Charger,48,8,243.92,220.43
West,126,Electronics,Speaker,33,93,10043.07,7958.29
Central,102,Apparel,Socks,2,13,68.9,65.35
Central,122,Apparel,Jeans,35,57,2993.64,2726.63
South,123,Apparel,Jacket,40,121,2812.04,1996.21
South,128,Apparel,Socks,7,16,1254.24,1642.93
West,116,Home,Lamp,1,14,1108.38,1212.16
Central,137,Home,Cushion,29,154,17366.58,21073.75
South,100,Apparel,Socks,3,15,991.95,976.27
South,103,Apparel,Socks,50,26,166.92,181.22
South,126,Apparel,Socks,13,132,9890.76,10433.4
West,139,Electronics,Speaker,12,130,5275.4,4801.6
West,134,Apparel,T-Shirt,1,96,9802.56,11975.11
North,128,Home,Towel,12,57,6817.77,6020.08
North,107,Electronics,Speaker,22,191,21277.4,28937.17
North,117,Home,Lamp,41,141,11718.51,13828.0
East,118,Electronics,Earbuds,42,55,815.1,860.09
East,115,Apparel,Jacket,48,51,5795.64,7084.05
South,124,Home,Cushion,22,153,4972.5,6639.77
Central,130,Electronics,Speaker,31,135,11506.05,14960.92
South,136,Home,Mug,20,54,2701.62,2998.08
South,109,Electronics,Charger,3,6,107.22,121.74
East,109,Apparel,Jacket,45,7,59.85,47.69
North,104,Electronics,Speaker,48,11,138.16,153.82
South,134,Home,Cushion,43,16,1698.72,2087.8
West,106,Electronics,Webcam,16,52,1474.72,1067.26
North,140,Electronics,Speaker,41,73,4370.51,3465.19
South,118,Electronics,Speaker,21,86,4620.78,3302.21
East,103,Home,Lamp,46,194,9180.08,8487.72
Central,130,Electronics,Charger,19,158,14338.5,17956.66
West,133,Apparel,T-Shirt,50,25,1122.0,1338.84
Central,113,Electronics,Earbuds,46,23,1634.61,1472.75
North,133,Home,Mug,13,73,6763.45,9364.04
East,131,Apparel,T-Shirt,7,125,10618.75,13567.98
Central,122,Home,Towel,33,66,4717.02,3826.57
South,131,Apparel,Socks,11,28,3162.6,3911.4
Central,106,Home,Towel,41,83,3809.7,3736.89
North,127,Home,Mug,42,6,286.62,261.45
Central,132,Home,Mug,11,97,11444.06,13063.63
South,134,Home,Towel,39,193,16262.18,18274.53
East,137,Apparel,T-Shirt,21,133,3040.38,3922.62
Central,120,Electronics,Speaker,11,118,6544.28,8124.1
South,108,Electronics,Charger,22,118,9311.38,11058.15
South,117,Electronics,Earbuds,20,193,16570.98,21385.9
South,115,Apparel,Jacket,47,83,6169.39,5824.17
East,112,Apparel,Socks,17,186,22212.12,18107.79
North,112,Electronics,Speaker,25,38,4489.32,5640.48
East,127,Electronics,Webcam,18,50,878.5,1175.42
South,124,Home,Lamp,30,8,51.6,66.98
South,132,Home,Mug,41,75,4371.0,3493.6
West,100,Electronics,Charger,48,62,6784.04,6790.96
Central,126,Electronics,Charger,15,170,14970.2,19701.59
Central,114,Electronics,Speaker,44,46,3623.88,3688.14
East,140,Home,Cushion,45,25,2697.5,2345.95
South,116,Home,Mug,28,123,7054.05,8007.04
Central,111,Home,Mug,42,83,7842.67,7623.83
North,102,Home,Towel,17,139,4178.34,5019.65
Central,122,Apparel,Socks,7,147,8456.91,7133.3
Central,101,Home,Towel,41,94,6109.06,6031.13
South,111,Home,Towel,26,131,12145.01,9542.05
East,140,Electronics,Charger,4,64,2339.2,2291.9
North,126,Apparel,T-Shirt,27,160,13648.0,12917.66
North,114,Home,Lamp,20,189,9648.45,13194.38
West,129,Apparel,Socks,14,42,834.54,1037.86
South,130,Electronics,Speaker,42,143,12566.84,15963.0
East,140,Apparel,Jacket,51,105,6177.15,5596.74
South,130,Electronics,Earbuds,23,200,20566.0,18246.1
East,127,Home,Mug,44,47,2837.86,3586.5
East,115,Home,Lamp,42,77,3221.68,3348.75
North,123,Electronics,Charger,10,77,7951.02,5883.31
East,108,Electronics,Charger,34,88,6847.28,4864.92
South,104,Apparel,T-Shirt,42,75,2531.25,1951.74
South,111,Apparel,Jacket,50,115,5156.6,4160.71
Central,110,Home,Mug,40,176,13192.96,16450.26
Central,140,Electronics,Speaker,20,50,3093.0,2626.48
West,107,Apparel,Jeans,36,30,1062.6,918.0
West,131,Apparel,Jacket,36,14,849.8,1133.48
West,115,Electronics,Webcam,32,42,2816.1,3672.23
South,120,Apparel,T-Shirt,30,178,12406.6,14462.5
East,127,Home,Towel,27,173,2364.91,2710.02
North,101,Electronics,Speaker,40,11,918.5,1241.85
North,132,Home,Cushion,31,124,11416.68,9146.39
West,140,Apparel,Socks,9,86,1363.96,1583.99
West,133,Home,Cushion,36,197,21654.24,19465.12
West,116,Home,Cushion,36,13,1300.91,1177.35
West,121,Home,Towel,33,69,7271.91,6845.54
West,107,Apparel,Socks,22,49,2032.03,1848.04
North,102,Electronics,Charger,26,185,12716.9,12516.23
North,125,Electronics,Charger,20,27,154.17,128.42
Central,103,Home,Towel,51,128,14032.64,15831.88
South,140,Electronics,Charger,44,178,14996.5,19696.79
South,102,Apparel,Jeans,43,162,9340.92,11525.5
South,102,Apparel,Jeans,27,198,3280.86,4433.62
East,108,Apparel,T-Shirt,51,79,5501.56,4844.68
South,126,Home,Lamp,3,81,595.35,652.76
North,131,Electronics,Charger,37,133,1267.49,992.69
Central,125,Home,Mug,29,17,112.71,109.44
South,130,Electronics,Charger,50,105,7151.55,5421.21
South,109,Home,Towel,41,3,162.3,114.67
North,105,Electronics,Speaker,14,31,614.73,437.96
Central,115,Electronics,Webcam,29,187,16938.46,22798.53
South,105,Home,Cushion,19,160,11057.6,11595.75
East,103,Electronics,Speaker,46,8,50.48,35.86
Central,105,Electronics,Speaker,25,79,3234.26,3622.64
Central,103,Home,Towel,21,94,10726.34,12972.83
South,109,Home,Towel,52,29,1356.62,1562.04
West,130,Electronics,Speaker,25,199,18988.58,25851.91
East,118,Electronics,Charger,18,15,1147.65,1326.3
East,138,Electronics,Charger,47,3,301.8,338.26
Central,127,Home,Lamp,16,96,4756.8,4582.42
West,118,Apparel,Socks,45,0,0.0,0.0
Central,102,Apparel,Jacket,19,36,3540.6,4627.72
South,117,Electronics,Charger,52,140,11722.2,15703.35
Central,105,Home,Cushion,35,141,8565.75,8284.93
South,119,Electronics,Webcam,39,14,1161.02,1190.89
East,137,Apparel,Socks,49,2,192.08,196.27
Central,122,Apparel,Jeans,50,16,508.48,562.23
Central,120,Home,Lamp,31,129,9387.33,7814.07
North,111,Apparel,Socks,52,179,6861.07,7578.09
West,133,Home,Cushion,10,63,638.19,892.19
North,123,Home,Cushion,41,118,11273.72,9123.92
North,122,Electronics,Charger,18,132,9876.24,7563.81
Central,131,Apparel,Socks,38,145,4286.2,5777.14
West,106,Home,Lamp,29,196,14349.16,16158.67
East,102,Apparel,Jacket,22,51,6088.38,5873.71
North,102,Apparel,T-Shirt,36,94,9882.22,10087.74
Central,140,Apparel,Jeans,26,30,2586.9,1973.73
Central,114,Home,Cushion,42,22,2529.78,2956.82
South,128,Home,Mug,11,94,10909.64,15210.23
South,102,Apparel,Socks,17,90,1063.8,1156.33
North,116,Apparel,T-Shirt,51,131,11344.6,13076.7
North,106,Home,Towel,10,81,7437.42,10096.79
East,137,Electronics,Speaker,38,112,10321.92,7987.04
East,116,Home,Cushion,25,31,1491.72,1440.63
South,109,Home,Towel,44,3,176.43,236.21
South,114,Apparel,T-Shirt,5,158,16539.44,21866.72
West,106,Apparel,Jacket,25,5,386.3,392.73
East,114,Home,Cushion,31,29,2239.96,1791.83
North,111,Apparel,Socks,46,115,7893.6,6325.12
East,126,Apparel,Jacket,27,63,1442.7,1283.68
East,110,Home,Lamp,17,125,2195.0,2237.43
North,109,Home,Towel,33,14,1085.98,1358.91
Central,130,Apparel,Socks,19,30,1039.5,874.36
West,116,Home,Cushion,16,60,973.2,878.41
North,118,Apparel,Jacket,10,163,1114.92,1410.28
Central,108,Home,Cushion,29,0,0.0,0.0
South,123,Home,Lamp,28,10,1098.8,937.04
South,108,Electronics,Charger,12,133,12448.8,14915.32
Central,105,Apparel,Socks,6,155,13802.75,17017.35
South,108,Apparel,Jacket,40,171,14772.69,18733.38
East,112,Electronics,Charger,1,16,1353.76,1439.99
North,133,Electronics,Webcam,52,88,3832.4,4941.25
North,100,Home,Towel,27,195,11662.95,15283.24
South,111,Home,Lamp,37,93,857.46,1021.73
Central,100,Electronics,Charger,23,133,14921.27,20563.22
North,122,Apparel,Jeans,46,62,6131.8,8007.09
West,136,Home,Cushion,49,15,577.95,448.13
West,128,Electronics,Webcam,33,6,396.06,426.21
South,105,Apparel,T-Shirt,15,158,4104.84,3168.41
Central,101,Home,Lamp,2,24,2676.72,3257.9
North,138,Home,Lamp,41,147,8577.45,7435.42
North,122,Home,Towel,7,183,4681.14,4171.41
West,137,Home,Towel,33,194,7209.04,5662.17
South,134,Home,Mug,38,58,6033.74,4845.42
West,125,Electronics,Charger,11,4,451.28,438.7
Central,138,Home,Mug,34,9,454.5,617.62
East,125,Home,Cushion,16,85,7419.65,9572.23
East,125,Electronics,Charger,36,13,550.68,442.0
East,115,Electronics,Speaker,28,169,13141.44,12551.42
South,104,Electronics,Earbuds,21,110,3089.9,3610.23
South,126,Apparel,Socks,26,198,23702.58,24120.03
North,102,Apparel,T-Shirt,42,158,5618.48,6601.19
Central,102,Home,Lamp,40,25,845.5,899.79
South,102,Home,Mug,19,28,1123.36,1295.53
North,138,Apparel,Jeans,33,68,1000.28,1113.49
West,107,Apparel,Jacket,33,33,3524.4,4725.91
East,117,Electronics,Charger,16,188,2838.8,3072.77
Central,136,Home,Towel,15,166,8210.36,8900.05
West,135,Home,Cushion,20,156,9352.2,11906.98
South,121,Apparel,T-Shirt,15,48,3068.64,2971.12
West,100,Electronics,Charger,23,41,4268.51,3700.71
East,131,Electronics,Earbuds,18,72,7632.72,6497.72
North,110,Apparel,T-Shirt,36,17,1269.56,1197.95
North,133,Electronics,Speaker,25,112,5120.64,6318.83
South,109,Electronics,Earbuds,27,86,7039.1,5618.81
Central,139,Apparel,Socks,18,132,2102.76,2732.29
East,140,Home,Towel,46,161,17740.59,13998.94
North,126,Apparel,Jeans,50,140,10131.8,10623.38
South,126,Electronics,Charger,51,71,7481.27,8417.43
West,129,Home,Mug,19,185,8426.75,7980.7
Central,138,Electronics,Earbuds,25,165,6934.95,8675.31
West,128,Home,Towel,20,47,3136.78,3958.83
Central,124,Home,Mug,38,59,891.49,1198.26
Central,115,Home,Cushion,21,52,6073.08,8040.02
North,103,Apparel,T-Shirt,17,144,15556.32,14154.28
East,134,Electronics,Earbuds,40,111,7160.61,7605.18
West,124,Electronics,Speaker,30,91,880.88,1033.59
North,104,Home,Towel,34,58,950.04,914.02
Central,136,Home,Mug,10,48,5563.68,5790.12
Central,137,Home,Towel,22,177,11676.69,14842.48
East,120,Apparel,Jacket,24,19,1899.81,2011.55
East,121,Apparel,Jeans,33,107,8301.06,8855.9
South,132,Electronics,Earbuds,13,105,2727.9,3112.72
North,122,Electronics,Charger,37,161,12590.2,9186.06
North,100,Home,Mug,20,181,15281.83,10739.14
West,106,Home,Lamp,38,3,245.49,205.64
Central,136,Home,Towel,18,165,17818.35,18888.08
Central,112,Apparel,Jacket,27,154,2921.38,2365.56
North,101,Electronics,Earbuds,7,19,467.59,498.33
Central,127,Home,Towel,52,15,1196.4,1410.79
East,109,Electronics,Charger,46,60,2741.4,2244.08
North,137,Home,Lamp,5,89,2406.56,2735.78
North,114,Apparel,T-Shirt,26,149,13837.63,10111.8
Central,115,Apparel,T-Shirt,16,57,573.42,775.02
East,100,Apparel,Jacket,30,77,4089.47,3583.92
North,115,Home,Towel,44,99,8178.39,9072.89
East,125,Home,Mug,46,124,939.92,1229.18
South,110,Apparel,Jeans,23,97,2565.65,3540.81
West,135,Home,Lamp,24,29,1262.37,1653.75
West,104,Home,Cushion,8,108,10796.76,10212.37
West,112,Apparel,Socks,30,72,3212.64,3228.39
North,121,Home,Lamp,52,39,1279.59,1012.03
East,134,Apparel,Socks,51,32,2202.24,2261.56
South,123,Apparel,Socks,23,55,4844.4,4669.16
South,119,Electronics,Charger,31,129,3677.79,4784.34
South,116,Electronics,Speaker,39,112,8127.84,7783.2
West,138,Apparel,Socks,33,54,1049.22,1285.8
Central,105,Electronics,Speaker,35,69,6184.47,7640.1
Central,109,Apparel,T-Shirt,20,3,149.52,113.67
South,120,Apparel,Jacket,13,169,18167.5,13583.05
Central,119,Home,Cushion,13,16,1402.4,1068.01
South,125,Home,Lamp,19,91,4676.49,6248.94
South,117,Electronics,Speaker,12,7,330.12,415.81
East,126,Electronics,Webcam,2,168,14437.92,14781.65
East,140,Home,Mug,7,46,1771.92,1576.34
South,102,Electronics,Charger,26,10,749.8,750.92
South,124,Home,Lamp,48,10,685.2,781.55
Central,114,Apparel,Jacket,37,127,11101.07,9750.03
Central,122,Home,Mug,1,28,2826.32,3514.62
North,137,Home,Lamp,39,178,1858.32,1618.82
North,120,Apparel,Jeans,14,198,21813.66,26714.48
West,125,Apparel,Jeans,48,157,15748.67,14123.66
East,127,Apparel,Jeans,29,87,7354.98,8951.21
West,132,Electronics,Speaker,4,173,14756.9,14754.62
South,131,Electronics,Earbuds,49,48,480.96,573.26
East,111,Electronics,Earbuds,35,41,4775.68,5474.18
East,115,Electronics,Earbuds,4,43,1984.45,1960.93
East,108,Apparel,Socks,9,175,15102.5,17658.36
South,100,Apparel,Socks,33,177,9943.86,13474.83
East,108,Home,Cushion,46,36,2612.52,2269.08
North,135,Electronics,Speaker,28,194,21968.56,25789.28
Central,129,Apparel,Jacket,50,103,10359.74,8081.99
North,123,Home,Lamp,32,52,519.48,689.39
South,107,Home,Lamp,45,79,4465.08,3478.71
West,129,Home,Cushion,37,92,3522.68,3840.68
North,129,Apparel,T-Shirt,49,124,1817.84,2185.04
Central,116,Electronics,Webcam,7,165,10101.3,10141.38
Central,120,Apparel,Socks,1,91,10078.25,11601.63
Central,116,Electronics,Speaker,42,62,867.38,1060.99
West,109,Apparel,T-Shirt,19,94,2477.84,2841.27
South,106,Electronics,Speaker,51,184,18492.0,22553.33
West,111,Home,Cushion,42,91,3805.62,3645.66
East,116,Electronics,Earbuds,16,14,136.36,149.56
West,103,Electronics,Speaker,14,126,6758.64,8188.31
Central,137,Home,Lamp,41,20,426.4,366.38
West,140,Apparel,Jacket,26,22,2586.98,3351.35
South,113,Home,Towel,47,95,505.4,651.25
West,109,Electronics,Earbuds,19,18,1459.62,1547.54
East,104,Home,Mug,29,2,163.2,208.61
South,124,Electronics,Webcam,19,1,55.96,61.24
Central,112,Home,Cushion,31,21,1415.61,1503.02
Central,140,Home,Mug,10,102,11792.22,13371.3
East,138,Apparel,T-Shirt,43,76,5318.48,5290.82
West,108,Home,Cushion,20,87,5742.0,6566.68
South,128,Apparel,Socks,45,21,459.9,508.35
Central,126,Electronics,Earbuds,24,135,4405.05,4444.51
North,114,Home,Lamp,12,51,3469.53,2701.34
North,112,Home,Lamp,34,171,5802.03,6048.58
West,114,Electronics,Earbuds,35,146,12427.52,15098.33
Central,105,Electronics,Charger,27,173,2326.85,2344.69
Central,132,Electronics,Earbuds,46,193,22007.79,25058.43
Central,106,Electronics,Webcam,30,175,8764.0,7185.42
Central,130,Apparel,Socks,50,23,476.79,592.8
West,115,Apparel,T-Shirt,4,95,931.0,1109.15
West,119,Apparel,Socks,8,181,3726.79,4978.9
Central,112,Apparel,Jeans,37,29,3204.79,4196.81
East,121,Apparel,Jacket,52,195,17481.75,12379.75
North,115,Home,Lamp,24,131,11761.18,16037.79
West,102,Electronics,Webcam,39,90,1481.4,1606.11
North,102,Electronics,Charger,44,62,2125.36,1775.11
North,137,Home,Towel,29,29,2783.71,2899.61
East,111,Apparel,Jeans,10,141,15803.28,20727.92
West,109,Electronics,Speaker,38,64,4282.88,5065.21
West,100,Home,Lamp,2,87,10385.19,10811.18
North,102,Home,Towel,5,46,3512.1,4043.41
West,130,Electronics,Charger,11,177,18087.63,17642.52
Central,104,Electronics,Charger,24,84,5523.0,5069.45
Central,139,Apparel,Jacket,3,54,1324.08,1261.44
East,136,Home,Towel,30,99,11167.2,10274.4
Central,130,Home,Cushion,22,58,426.88,436.09
North,140,Electronics,Charger,10,186,15281.76,13614.01
North,132,Home,Lamp,17,91,6409.13,6855.87
North,135,Apparel,Jacket,50,24,2527.68,3139.4
Central,140,Electronics,Speaker,7,92,8838.44,11093.39
South,104,Apparel,Socks,20,195,8632.65,8234.32
South,122,Electronics,Speaker,36,183,9459.27,7021.75
East,130,Home,Cushion,33,94,10136.02,12836.79
South,108,Home,Cushion,14,1,107.21,125.43
West,125,Home,Mug,37,197,7836.66,6412.3
South,119,Apparel,Jeans,47,78,2651.22,2917.21
East,104,Electronics,Speaker,13,149,16591.15,18406.99
Central,122,Home,Lamp,30,91,10611.51,12555.5
North,131,Electronics,Webcam,21,44,1616.12,1422.63
South,140,Apparel,T-Shirt,18,60,5160.6,4401.06
West,112,Home,Mug,39,72,7514.64,8669.38
South,103,Apparel,Socks,9,153,1620.27,1217.49
East,108,Electronics,Charger,1,48,1733.76,1993.37
East,101,Apparel,T-Shirt,14,82,3491.56,4275.51
West,125,Electronics,Speaker,40,173,16787.92,13802.25
North,105,Home,Mug,41,156,6781.32,7093.61
West,116,Electronics,Charger,30,3,23.88,22.01
East,103,Electronics,Speaker,27,157,13607.19,17477.69
North,101,Apparel,Jacket,10,53,1134.73,1403.7
East,123,Apparel,Jeans,28,88,5891.6,6551.12
